,MC_mean,MC_median,MC_median_one,MC_median_neg_two,GB_mean,GB_medain,GB_median_one,GB_median_neg_two,SAM_gen
2020-01-01 00:00:00+00:00,6.132000863,6.117091575,6.0733374,6.0733374,2.798073628,2.780589979,2.683127204,2.786804483,1.504635531
2020-01-01 01:00:00+00:00,,,,,,,,,
2020-01-01 02:00:00+00:00,,,,,,,,,
2020-01-01 03:00:00+00:00,,,,,,,,,
2020-01-01 04:00:00+00:00,,,,,,,,,
2020-01-01 05:00:00+00:00,,,,,,,,,
2020-01-01 06:00:00+00:00,,,,,,,,,
2020-01-01 07:00:00+00:00,,,,,,,,,
2020-01-01 08:00:00+00:00,,,,,,,,,
2020-01-01 09:00:00+00:00,,,,,,,,,
2020-01-01 10:00:00+00:00,,,,,,,,,
2020-01-01 11:00:00+00:00,,,,,,,,,
2020-01-01 12:00:00+00:00,,,,,,,,,
2020-01-01 13:00:00+00:00,,,,,,,,,
2020-01-01 14:00:00+00:00,,,,,,,,,
2020-01-01 15:00:00+00:00,,,,,,,,,
2020-01-01 16:00:00+00:00,9.462524992,9.484126539,9.384360486,9.384360486,8.596689179,8.63714006,8.488870976,8.662961158,9.460157109
2020-01-01 17:00:00+00:00,15.0885048,15.09925143,15.00071348,15.00071348,12.4761477,12.72651263,12.57249824,13.06692866,14.26086182
2020-01-01 18:00:00+00:00,18.70204716,18.80194349,18.77455652,18.60069242,17.01790513,17.15213203,17.13389108,17.14821347,17.69530717
2020-01-01 19:00:00+00:00,20,20,20,20,18.44316618,18.28546053,18.18485363,18.39490533,19.57427331
2020-01-01 20:00:00+00:00,20,20,20,20,17.53458475,17.34834066,17.30673824,17.65665287,19.44340413
2020-01-01 21:00:00+00:00,19.5040259,19.81351643,19.62200176,19.62200176,17.27837093,16.93596529,16.4732586,16.91607495,17.47450781
2020-01-01 22:00:00+00:00,16.59302918,17.04089212,16.84682541,16.84682541,12.80657822,13.40758732,12.78228208,13.11118004,15.42597095
2020-01-01 23:00:00+00:00,11.79757149,11.97482281,11.95222457,11.78098403,8.334314213,8.297735067,8.34744255,8.335220286,9.038815426
2020-01-02 00:00:00+00:00,5.175108415,5.279093406,5.249587087,5.161606872,2.237513684,2.246156297,2.152158392,2.216996651,0.625291125
2020-01-02 01:00:00+00:00,,,,,,,,,
2020-01-02 02:00:00+00:00,,,,,,,,,
2020-01-02 03:00:00+00:00,,,,,,,,,
2020-01-02 04:00:00+00:00,,,,,,,,,
2020-01-02 05:00:00+00:00,,,,,,,,,
2020-01-02 06:00:00+00:00,,,,,,,,,
2020-01-02 07:00:00+00:00,,,,,,,,,
2020-01-02 08:00:00+00:00,,,,,,,,,
2020-01-02 09:00:00+00:00,,,,,,,,,
2020-01-02 10:00:00+00:00,,,,,,,,,
2020-01-02 11:00:00+00:00,,,,,,,,,
2020-01-02 12:00:00+00:00,,,,,,,,,
2020-01-02 13:00:00+00:00,,,,,,,,,
2020-01-02 14:00:00+00:00,,,,,,,,,
2020-01-02 15:00:00+00:00,,,,,,,,,
2020-01-02 16:00:00+00:00,9.244510773,9.28097975,9.185772321,9.185772321,7.938252152,7.962709094,8.061708348,7.956271571,9.625349041
2020-01-02 17:00:00+00:00,14.92537273,14.94411092,14.91221899,14.91221899,12.92015073,13.21657546,13.05269982,13.49990995,14.6407983
2020-01-02 18:00:00+00:00,18.88282217,18.91261455,18.79146426,18.79146426,17.2301904,17.38604174,17.16888137,17.26848817,18.20448223
2020-01-02 19:00:00+00:00,20,20,20,20,18.59609409,18.54074149,18.59036364,18.57841057,20
2020-01-02 20:00:00+00:00,20,20,20,20,18.44913993,18.39220592,18.32257083,18.33276523,20
2020-01-02 21:00:00+00:00,20,20,20,20,17.54423055,17.17891469,17.40900467,17.34878081,18.80068726
2020-01-02 22:00:00+00:00,17.6970979,17.68981396,17.6854473,17.6854473,13.94640274,14.09556624,13.66278291,13.93094608,15.53000607
2020-01-02 23:00:00+00:00,13.04373492,13.04180403,13.02269343,13.02269343,9.337062056,9.237077823,9.062258258,9.145794858,10.40927305
2020-01-03 00:00:00+00:00,6.38588249,6.382490167,6.337136391,6.337136391,2.816221436,2.688183248,2.537219331,2.939295362,2.388546691
2020-01-03 01:00:00+00:00,,,,,,,,,
2020-01-03 02:00:00+00:00,,,,,,,,,
2020-01-03 03:00:00+00:00,,,,,,,,,
2020-01-03 04:00:00+00:00,,,,,,,,,
2020-01-03 05:00:00+00:00,,,,,,,,,
2020-01-03 06:00:00+00:00,,,,,,,,,
2020-01-03 07:00:00+00:00,,,,,,,,,
2020-01-03 08:00:00+00:00,,,,,,,,,
2020-01-03 09:00:00+00:00,,,,,,,,,
2020-01-03 10:00:00+00:00,,,,,,,,,
2020-01-03 11:00:00+00:00,,,,,,,,,
2020-01-03 12:00:00+00:00,,,,,,,,,
2020-01-03 13:00:00+00:00,,,,,,,,,
2020-01-03 14:00:00+00:00,,,,,,,,,
2020-01-03 15:00:00+00:00,,,,,,,,,
2020-01-03 16:00:00+00:00,9.229138704,9.245935015,9.161479166,9.161479166,8.838139767,8.832870952,8.931714918,8.890341529,9.684781437
2020-01-03 17:00:00+00:00,14.96969027,14.96741236,14.89206679,14.89206679,12.75900373,12.97607715,12.91203751,13.55383669,14.68231911
2020-01-03 18:00:00+00:00,18.81770068,18.83196049,18.66924324,18.66924324,16.90716504,16.94377168,16.99062131,16.87418231,18.17547249
2020-01-03 19:00:00+00:00,20,20,20,20,18.40272864,18.25070011,18.13540946,18.33272027,19.9709629
2020-01-03 20:00:00+00:00,20,20,20,20,18.12866367,18.07250295,18.05662099,18.06057306,18.96298487
2020-01-03 21:00:00+00:00,20,20,20,20,17.11455819,16.9605244,17.07904954,16.88818832,17.02029627
2020-01-03 22:00:00+00:00,17.5280231,17.54783487,17.53724225,17.37909883,13.66067839,13.88092461,13.48239353,13.74835414,14.6432887
2020-01-03 23:00:00+00:00,12.91576222,12.94911938,12.88994915,12.88994915,9.233671568,9.314287959,9.258908826,9.251507039,10.30765051
2020-01-04 00:00:00+00:00,6.289164855,6.368958127,6.323448103,6.223409839,2.672153953,2.628754463,2.560014291,2.950765258,1.833622923
2020-01-04 01:00:00+00:00,,,,,,,,,
2020-01-04 02:00:00+00:00,,,,,,,,,
2020-01-04 03:00:00+00:00,,,,,,,,,
2020-01-04 04:00:00+00:00,,,,,,,,,
2020-01-04 05:00:00+00:00,,,,,,,,,
2020-01-04 06:00:00+00:00,,,,,,,,,
2020-01-04 07:00:00+00:00,,,,,,,,,
2020-01-04 08:00:00+00:00,,,,,,,,,
2020-01-04 09:00:00+00:00,,,,,,,,,
2020-01-04 10:00:00+00:00,,,,,,,,,
2020-01-04 11:00:00+00:00,,,,,,,,,
2020-01-04 12:00:00+00:00,,,,,,,,,
2020-01-04 13:00:00+00:00,,,,,,,,,
2020-01-04 14:00:00+00:00,,,,,,,,,
2020-01-04 15:00:00+00:00,,,,,,,,,
2020-01-04 16:00:00+00:00,9.4037326,9.398714301,9.306209526,9.306209526,8.350717535,8.144180133,8.267246231,8.198562556,9.541205956
2020-01-04 17:00:00+00:00,14.87131103,14.87101761,14.81409486,14.81409486,13.16676682,12.80160066,13.10958727,13.2451494,14.41586774
2020-01-04 18:00:00+00:00,18.63180703,18.62243859,18.51558488,18.51558488,16.76720763,16.78794874,16.72256229,16.71135873,17.98955778
2020-01-04 19:00:00+00:00,20,20,20,20,18.29444612,18.21940004,18.22394489,18.18576509,19.89190004
2020-01-04 20:00:00+00:00,20,20,20,20,18.291,18.21780776,18.2241393,18.2174817,20
2020-01-04 21:00:00+00:00,19.92679663,19.92853528,19.89849657,19.89849657,16.29847207,16.77686368,16.78494261,16.58210488,18.8334698
